,yearID,teamID,franchID,Rank,DivWin,WCWin,WSWin,name,park,BPF,PPF
320,1895,CL4,CLV,2,,,,Cleveland Spiders,League Park I,106,104
321,1895,LS3,LOU,12,,,,Louisville Colonels,Eclipse Park II,94,97
322,1895,NY1,SFG,9,,,,New York Giants,Polo Grounds III,98,97
323,1895,PHI,PHI,3,,,,Philadelphia Phillies,Baker Bowl,100,100
324,1895,PIT,PIT,7,,,,Pittsburgh Pirates,Exposition Park,95,95
325,1895,SLN,STL,11,,,,St. Louis Browns,Robison Field,99,101
326,1895,WAS,WAS,10,,,,Washington Senators,Boundary Field,99,101
327,1896,BLN,BLO,1,,,,Baltimore Orioles,Union Park,102,98
328,1896,BRO,LAD,10,,,,Brooklyn Bridegrooms,Eastern Park,94,95
329,1896,BSN,ATL,4,,,,Boston Beaneaters,South End Grounds III,106,104
330,1896,CHN,CHC,5,,,,Chicago Colts,West Side Park II,104,104
331,1896,CIN,CIN,3,,,,Cincinnati Reds,League Park II in Cincinnati,107,106
332,1896,CL4,CLV,2,,,,Cleveland Spiders,League Park I,106,104
